created_at,entry_id,field1,field2,field3,field4
2022-07-19 23:44:29 UTC,1,12,98,6.17,97
2022-07-19 23:44:30 UTC,2,21,54,10.67,93
2022-07-19 23:44:31 UTC,3,32,126,3.69,87
2022-07-19 23:44:32 UTC,4,33,147,19.15,93
2022-07-19 23:44:33 UTC,5,19,103,9.84,89
2022-07-19 23:44:34 UTC,6,23,67,18.16,94
2022-07-19 23:44:35 UTC,7,30,121,3.71,96
2022-07-19 23:44:36 UTC,8,24,55,12.8,96
2022-07-19 23:44:37 UTC,9,12,53,10.77,85
2022-07-19 23:44:38 UTC,10,14,122,0.13,93
2022-07-19 23:44:39 UTC,11,36,127,10.95,95
2022-07-19 23:44:40 UTC,12,40,101,13.53,88
2022-07-19 23:44:45 UTC,13,11,93,16.58,87
2022-07-19 23:44:46 UTC,14,15,153,9.77,97
2022-07-19 23:44:47 UTC,15,32,92,17.86,88
2022-07-19 23:44:48 UTC,16,30,110,9.82,95
2022-07-19 23:44:49 UTC,17,12,125,15.82,94
2022-07-19 23:44:50 UTC,18,38,94,0.51,91
2022-07-19 23:44:51 UTC,19,18,144,2.61,90
2022-07-19 23:44:52 UTC,20,21,91,0.66,92
