created_at,entry_id,field1,field2,field3,field4
2022-07-16 15:36:49 UTC,1,31,52,16.35,91
2022-07-16 15:36:50 UTC,2,20,98,4.84,92
2022-07-16 15:36:51 UTC,3,13,133,19.38,91
2022-07-16 15:36:52 UTC,4,27,80,18.12,97
2022-07-16 15:36:53 UTC,5,26,137,16.26,94
2022-07-16 15:36:59 UTC,6,16,62,13.11,92
2022-07-16 15:37:00 UTC,7,12,68,17.21,87
2022-07-16 15:37:01 UTC,8,36,129,3.24,91
2022-07-16 15:37:02 UTC,9,29,94,12.47,95
2022-07-16 15:37:03 UTC,10,31,101,10.42,92
2022-07-16 15:37:04 UTC,11,25,94,10.16,97
2022-07-16 15:37:05 UTC,12,16,96,10.8,85
2022-07-16 15:37:06 UTC,13,24,79,4.59,89
2022-07-16 15:37:07 UTC,14,21,135,8.19,90
2022-07-16 15:37:09 UTC,15,40,153,13.83,85
2022-07-16 15:37:10 UTC,16,16,141,0.61,94
2022-07-16 15:37:11 UTC,17,19,105,5.93,90
2022-07-16 15:37:12 UTC,18,11,102,7.25,89
