created_at,entry_id,field1,field2,field3,field4
2022-07-20 17:48:28 UTC,1,26,76,16.51,90
2022-07-20 17:48:29 UTC,2,11,76,18.8,96
2022-07-20 17:48:30 UTC,3,36,67,11.84,92
2022-07-20 17:48:31 UTC,4,30,76,18.85,87
2022-07-20 17:48:32 UTC,5,32,124,16.2,94
2022-07-20 17:48:33 UTC,6,39,106,6.77,91
2022-07-20 17:48:34 UTC,7,30,147,0.14,93
2022-07-20 17:48:35 UTC,8,36,124,2.9,87
2022-07-20 17:48:36 UTC,9,34,91,13.99,87
2022-07-20 17:48:37 UTC,10,39,64,9.67,91
2022-07-20 17:48:42 UTC,11,10,143,15.31,86
2022-07-20 17:48:43 UTC,12,16,77,0.39,93
2022-07-20 17:48:44 UTC,13,39,87,12.45,85
2022-07-20 17:48:45 UTC,14,20,141,19.58,95
2022-07-20 17:48:46 UTC,15,32,113,15.66,85
2022-07-20 17:48:47 UTC,16,19,130,1.55,92
2022-07-20 17:48:48 UTC,17,38,65,4.32,96
2022-07-20 17:48:49 UTC,18,22,58,11.04,85
2022-07-20 17:48:50 UTC,19,26,110,1.25,87
