created_at,entry_id,field1,field2,field3,field4
2022-07-19 23:48:47 UTC,1,38,132,1.83,96
2022-07-19 23:48:48 UTC,2,30,115,4.8,89
2022-07-19 23:48:49 UTC,3,34,131,19.12,93
2022-07-19 23:48:50 UTC,4,32,91,2.03,97
2022-07-19 23:48:51 UTC,5,37,130,10.34,87
2022-07-19 23:48:52 UTC,6,26,152,6.83,90
2022-07-19 23:48:53 UTC,7,19,119,18.63,95
2022-07-19 23:48:54 UTC,8,25,144,8.15,98
2022-07-19 23:48:55 UTC,9,17,128,7.47,90
2022-07-19 23:48:56 UTC,10,30,62,7.27,91
2022-07-19 23:48:57 UTC,11,37,140,19.4,90
2022-07-19 23:48:58 UTC,12,24,145,7.84,96
2022-07-19 23:48:59 UTC,13,21,72,3.94,87
2022-07-19 23:49:00 UTC,14,23,116,5.85,95
2022-07-19 23:49:06 UTC,15,19,95,4.44,95
2022-07-19 23:49:07 UTC,16,13,143,4.46,88
2022-07-19 23:49:08 UTC,17,35,134,17.54,99
2022-07-19 23:49:09 UTC,18,17,56,4.16,87
2022-07-19 23:49:10 UTC,19,25,86,5.7,96
2022-07-19 23:49:11 UTC,20,35,67,19.6,90
2022-07-19 23:49:12 UTC,21,36,106,5.4,94
