created_at,entry_id,field1,field2,field3,field4
2022-07-17 22:04:44 UTC,41,33,76,4.63,90
2022-07-17 22:04:58 UTC,42,21,82,11.47,93
2022-07-17 22:31:10 UTC,43,22,76,12.72,98
2022-07-17 22:31:24 UTC,44,16,130,1.57,91
2022-07-17 22:31:39 UTC,45,28,91,4.05,89
2022-07-17 22:31:54 UTC,46,16,128,5.11,88
2022-07-17 22:32:10 UTC,47,14,82,5.99,86
2022-07-17 22:32:24 UTC,48,12,73,12.53,91
2022-07-17 22:32:39 UTC,49,27,148,10.2,89
2022-07-17 22:36:57 UTC,50,30,59,17.95,97
2022-07-17 22:37:12 UTC,51,32,86,8.15,86
2022-07-17 22:37:27 UTC,52,36,105,14.45,97
2022-07-17 22:37:42 UTC,53,32,53,6.93,89
2022-07-17 22:37:57 UTC,54,27,101,14.82,85
2022-07-17 22:38:12 UTC,55,27,109,13.68,94
2022-07-17 22:38:27 UTC,56,16,102,5.56,99
2022-07-17 22:40:04 UTC,57,17,74,14.66,92
2022-07-17 22:40:19 UTC,58,33,77,13.46,95
2022-07-17 22:40:36 UTC,59,16,66,19.54,95
2022-07-17 22:40:49 UTC,60,38,71,19.33,97
2022-07-17 22:41:04 UTC,61,40,136,19.63,85
2022-07-17 22:41:19 UTC,62,10,111,13.07,91
2022-07-17 22:41:34 UTC,63,37,52,16.62,94
2022-07-17 22:43:19 UTC,64,13,129,9.85,90
2022-07-17 22:43:20 UTC,65,22,81,15.69,91
2022-07-17 22:43:34 UTC,66,25,141,3.57,88
2022-07-17 22:43:35 UTC,67,26,127,9.34,91
2022-07-17 22:43:49 UTC,68,24,145,1.07,96
2022-07-17 22:43:50 UTC,69,21,93,1.85,89
2022-07-17 22:44:04 UTC,70,17,107,12.5,96
2022-07-17 22:44:10 UTC,71,10,153,18.17,93
2022-07-17 22:44:19 UTC,72,38,52,11.68,85
2022-07-17 22:44:20 UTC,73,34,99,10.29,90
2022-07-17 22:44:34 UTC,74,23,144,2.81,94
2022-07-17 22:50:17 UTC,75,28,55,11.43,92
2022-07-17 22:50:32 UTC,76,19,147,4.67,95
2022-07-17 22:50:47 UTC,77,35,118,10.98,94
