created_at,entry_id,field1,field2,field3,field4
2022-07-19 23:43:18 UTC,1,35,73,8.07,88
2022-07-19 23:43:19 UTC,2,18,153,17.03,98
2022-07-19 23:43:20 UTC,3,23,109,15.95,87
2022-07-19 23:43:21 UTC,4,20,151,11.82,89
2022-07-19 23:43:22 UTC,5,14,138,3.5,91
2022-07-19 23:43:23 UTC,6,24,85,13.4,93
2022-07-19 23:43:24 UTC,7,13,57,13.34,86
2022-07-19 23:43:25 UTC,8,20,100,15.4,85
2022-07-19 23:43:26 UTC,9,21,116,4.95,91
2022-07-19 23:43:27 UTC,10,23,127,4.87,86
2022-07-19 23:43:28 UTC,11,36,136,5.06,94
2022-07-19 23:43:33 UTC,12,22,107,18.16,87
2022-07-19 23:43:34 UTC,13,20,98,14.23,97
2022-07-19 23:43:35 UTC,14,30,93,0.61,87
2022-07-19 23:43:36 UTC,15,25,77,12.93,98
2022-07-19 23:43:37 UTC,16,31,94,12.63,91
2022-07-19 23:43:38 UTC,17,22,143,3.17,99
2022-07-19 23:43:39 UTC,18,20,54,8.56,87
