created_at,entry_id,field1,field2,field3,field4
2022-07-19 23:51:12 UTC,1,35,133,14.17,93
2022-07-19 23:51:13 UTC,2,17,83,8.02,85
2022-07-19 23:51:14 UTC,3,13,78,18.39,97
2022-07-19 23:51:15 UTC,4,32,108,2.06,98
2022-07-19 23:51:16 UTC,5,29,53,17.05,88
2022-07-19 23:51:17 UTC,6,20,123,3.5,98
2022-07-19 23:51:18 UTC,7,12,124,16.43,94
2022-07-19 23:51:19 UTC,8,10,145,7.89,89
2022-07-19 23:51:20 UTC,9,20,67,12.92,98
2022-07-19 23:51:21 UTC,10,33,121,16.66,96
2022-07-19 23:51:22 UTC,11,28,130,18.06,94
2022-07-19 23:51:23 UTC,12,29,131,8.08,97
2022-07-19 23:51:28 UTC,13,16,154,8.72,99
2022-07-19 23:51:29 UTC,14,26,89,14.79,99
2022-07-19 23:51:30 UTC,15,26,150,12.44,92
2022-07-19 23:51:31 UTC,16,24,149,19.41,92
2022-07-19 23:51:32 UTC,17,35,69,5.23,96
2022-07-19 23:51:33 UTC,18,33,81,5.6,93
2022-07-19 23:51:34 UTC,19,24,87,6.33,95
2022-07-19 23:51:35 UTC,20,24,106,11.37,91
2022-07-19 23:51:36 UTC,21,36,103,13.46,97
