created_at,entry_id,field1,field2,field3,field4
2022-07-19 23:52:07 UTC,1,28,112,8.19,88
2022-07-19 23:52:08 UTC,2,40,106,1.5,99
2022-07-19 23:52:09 UTC,3,30,86,2.22,85
2022-07-19 23:52:10 UTC,4,37,136,10.12,90
2022-07-19 23:52:11 UTC,5,40,153,4.88,92
2022-07-19 23:52:12 UTC,6,11,112,5.84,85
2022-07-19 23:52:13 UTC,7,16,77,3.71,95
2022-07-19 23:52:14 UTC,8,36,124,18.34,96
2022-07-19 23:52:15 UTC,9,14,72,7.12,99
2022-07-19 23:52:16 UTC,10,38,100,8.08,93
2022-07-19 23:52:17 UTC,11,11,81,14.66,93
2022-07-19 23:52:18 UTC,12,35,79,0.89,87
2022-07-19 23:52:19 UTC,13,18,92,9.27,85
2022-07-19 23:52:20 UTC,14,39,81,5.91,96
2022-07-19 23:52:21 UTC,15,20,74,4.06,90
2022-07-19 23:52:22 UTC,16,27,79,2.85,95
2022-07-19 23:52:28 UTC,17,17,91,13.66,93
2022-07-19 23:52:29 UTC,18,36,130,13.6,91
2022-07-19 23:52:30 UTC,19,11,84,6.68,95
2022-07-19 23:52:31 UTC,20,34,115,9.22,94
2022-07-19 23:52:32 UTC,21,29,89,17.28,89
2022-07-19 23:52:33 UTC,22,11,87,17.39,93
