created_at,entry_id,field1,field2,field3,field4
2022-07-16 15:50:57 UTC,1,25,123,6.87,91
2022-07-16 15:50:58 UTC,2,22,134,16.01,93
2022-07-16 15:50:59 UTC,3,16,81,0.56,86
2022-07-16 15:51:00 UTC,4,17,51,0.18,96
2022-07-16 15:51:01 UTC,5,36,137,2.58,87
2022-07-16 15:51:02 UTC,6,18,121,4.88,95
2022-07-16 15:51:03 UTC,7,13,136,9.55,88
2022-07-16 15:51:04 UTC,8,16,139,12.71,92
2022-07-16 15:51:05 UTC,9,37,67,18.33,98
2022-07-16 15:51:06 UTC,10,12,119,18.78,97
2022-07-16 15:51:07 UTC,11,23,98,5.43,96
2022-07-16 15:51:17 UTC,12,21,134,10.0,93
2022-07-16 15:51:18 UTC,13,20,89,18.14,86
2022-07-16 15:51:19 UTC,14,15,50,10.75,87
2022-07-16 15:51:20 UTC,15,36,60,0.17,89
2022-07-16 15:51:21 UTC,16,29,74,7.35,90
2022-07-16 15:51:22 UTC,17,23,77,19.35,85
2022-07-16 15:51:23 UTC,18,37,98,5.06,86
2022-07-16 15:51:24 UTC,19,32,72,0.86,94
2022-07-16 15:51:25 UTC,20,10,121,7.41,93
2022-07-16 15:51:35 UTC,21,26,136,12.48,90
2022-07-16 15:51:36 UTC,22,30,111,1.47,99
2022-07-16 15:51:37 UTC,23,18,59,13.18,90
2022-07-16 15:51:38 UTC,24,37,57,17.25,86
2022-07-16 15:51:39 UTC,25,31,75,12.05,91
2022-07-16 15:51:40 UTC,26,12,93,13.85,91
2022-07-16 15:51:41 UTC,27,11,135,2.3,85
2022-07-16 15:51:42 UTC,28,31,88,19.29,85
2022-07-16 15:51:52 UTC,29,12,70,12.66,87
2022-07-16 15:51:53 UTC,30,35,151,18.8,90
2022-07-16 15:51:54 UTC,31,39,120,2.75,95
2022-07-16 15:51:55 UTC,32,36,134,4.09,86
2022-07-16 15:51:56 UTC,33,17,116,12.16,97
2022-07-16 15:51:57 UTC,34,22,135,7.59,95
2022-07-16 15:51:58 UTC,35,15,97,4.12,90
2022-07-16 15:51:59 UTC,36,17,124,5.95,96
2022-07-16 15:52:00 UTC,37,10,131,1.4,92
2022-07-16 15:52:01 UTC,38,27,76,16.89,98
2022-07-16 15:52:02 UTC,39,13,95,16.57,93
2022-07-16 15:52:03 UTC,40,19,150,8.66,92
2022-07-16 15:52:07 UTC,41,31,62,2.81,86
2022-07-16 15:52:08 UTC,42,17,65,0.29,98
2022-07-16 15:52:09 UTC,43,31,149,0.89,99
2022-07-16 15:52:10 UTC,44,38,110,19.72,96
2022-07-16 15:52:11 UTC,45,37,146,18.96,93
2022-07-16 15:52:12 UTC,46,15,79,10.67,96
2022-07-16 15:52:13 UTC,47,36,142,7.35,87
2022-07-16 15:52:14 UTC,48,12,124,12.09,97
2022-07-16 15:52:15 UTC,49,30,97,5.51,99
2022-07-16 15:52:16 UTC,50,18,137,4.73,98
2022-07-16 15:52:17 UTC,51,30,129,18.77,88
2022-07-16 15:52:18 UTC,52,18,59,13.98,90
2022-07-16 15:52:19 UTC,53,39,130,16.76,85
2022-07-16 15:52:20 UTC,54,16,94,3.58,92
2022-07-16 15:52:25 UTC,55,35,99,13.13,96
2022-07-16 15:52:26 UTC,56,28,57,5.56,88
2022-07-16 15:52:27 UTC,57,10,56,19.61,90
2022-07-16 15:52:28 UTC,58,16,99,7.28,98
2022-07-16 15:52:29 UTC,59,19,51,1.84,87
2022-07-16 15:52:30 UTC,60,10,133,2.14,93
