created_at,entry_id,field1,field2,field3,field4
2022-07-19 23:56:15 UTC,1,22,144,2.01,98
2022-07-19 23:56:16 UTC,2,31,137,5.29,94
2022-07-19 23:56:17 UTC,3,28,124,17.39,94
2022-07-19 23:56:18 UTC,4,23,115,18.41,95
2022-07-19 23:56:19 UTC,5,35,103,12.6,85
2022-07-19 23:56:20 UTC,6,35,53,4.58,96
2022-07-19 23:56:21 UTC,7,40,79,7.86,96
2022-07-19 23:56:22 UTC,8,15,139,0.49,99
2022-07-19 23:56:23 UTC,9,23,78,7.04,87
2022-07-19 23:56:29 UTC,10,17,130,7.27,94
2022-07-19 23:56:30 UTC,11,21,118,2.4,90
2022-07-19 23:56:31 UTC,12,13,80,18.23,87
2022-07-19 23:56:32 UTC,13,32,95,12.25,99
2022-07-19 23:56:33 UTC,14,25,127,14.35,94
2022-07-19 23:56:34 UTC,15,37,118,10.71,89
2022-07-19 23:56:35 UTC,16,23,64,1.52,93
2022-07-19 23:56:36 UTC,17,13,62,4.08,96
