created_at,entry_id,field1,field2,field3,field4
2022-07-20 00:19:22 UTC,1,38,106,19.33,92
2022-07-20 00:19:23 UTC,2,17,135,4.63,99
2022-07-20 00:19:24 UTC,3,31,92,7.13,90
2022-07-20 00:19:25 UTC,4,39,58,18.23,85
2022-07-20 00:19:26 UTC,5,27,147,16.32,86
2022-07-20 00:19:27 UTC,6,18,103,14.32,97
2022-07-20 00:19:28 UTC,7,21,88,2.51,95
2022-07-20 00:19:29 UTC,8,12,138,2.02,98
2022-07-20 00:19:30 UTC,9,20,76,11.59,98
2022-07-20 00:19:31 UTC,10,14,106,1.34,94
2022-07-20 00:19:32 UTC,11,37,126,2.44,94
2022-07-20 00:19:33 UTC,12,26,74,3.6,90
2022-07-20 00:19:37 UTC,13,32,147,16.77,97
2022-07-20 00:19:38 UTC,14,19,129,1.65,90
2022-07-20 00:19:39 UTC,15,28,82,15.6,85
2022-07-20 00:19:40 UTC,16,34,108,10.08,96
2022-07-20 00:19:41 UTC,17,13,109,10.48,92
2022-07-20 00:19:42 UTC,18,23,137,13.55,96
2022-07-20 00:19:43 UTC,19,35,143,2.93,88
2022-07-20 00:19:44 UTC,20,36,141,17.07,88
2022-07-20 00:19:45 UTC,21,26,69,8.78,96
2022-07-20 00:19:46 UTC,22,16,91,14.95,93
2022-07-20 00:19:47 UTC,23,40,98,9.75,89
