created_at,entry_id,field1,field2,field3,field4
2022-07-20 00:10:48 UTC,1,26,51,8.07,88
2022-07-20 00:10:49 UTC,2,21,130,19.74,85
2022-07-20 00:10:50 UTC,3,36,112,10.85,87
2022-07-20 00:10:55 UTC,4,37,66,6.89,93
2022-07-20 00:10:56 UTC,5,40,125,9.81,96
2022-07-20 00:10:57 UTC,6,34,114,11.46,91
2022-07-20 00:10:58 UTC,7,17,150,13.14,98
2022-07-20 00:10:59 UTC,8,26,70,0.52,97
2022-07-20 00:11:00 UTC,9,21,154,3.16,93
2022-07-20 00:11:01 UTC,10,27,142,8.48,88
2022-07-20 00:11:02 UTC,11,29,97,2.2,89
2022-07-20 00:11:03 UTC,12,14,119,9.72,94
2022-07-20 00:11:04 UTC,13,29,73,1.85,90
