created_at,entry_id,field1,field2,field3,field4
2022-07-20 00:05:57 UTC,1,24,98,4.14,97
2022-07-20 00:05:58 UTC,2,31,138,17.85,88
2022-07-20 00:05:59 UTC,3,32,117,1.41,94
2022-07-20 00:06:00 UTC,4,21,106,18.82,94
2022-07-20 00:06:01 UTC,5,19,115,7.26,86
2022-07-20 00:06:02 UTC,6,27,151,14.18,89
2022-07-20 00:06:03 UTC,7,30,75,15.05,87
2022-07-20 00:06:04 UTC,8,24,79,12.2,95
2022-07-20 00:06:05 UTC,9,25,121,7.61,85
2022-07-20 00:06:06 UTC,10,22,137,3.48,91
2022-07-20 00:06:07 UTC,11,29,90,11.12,85
2022-07-20 00:06:08 UTC,12,37,62,5.43,86
2022-07-20 00:06:09 UTC,13,38,66,18.87,91
2022-07-20 00:06:10 UTC,14,12,119,15.84,94
2022-07-20 00:06:11 UTC,15,35,73,12.0,97
