created_at,entry_id,field1,field2,field3,field4
2022-07-19 23:53:38 UTC,1,34,126,13.18,86
2022-07-19 23:53:39 UTC,2,15,109,6.95,89
2022-07-19 23:53:40 UTC,3,22,144,16.76,97
2022-07-19 23:53:41 UTC,4,18,55,15.48,88
2022-07-19 23:53:42 UTC,5,25,65,18.16,88
2022-07-19 23:53:43 UTC,6,26,122,15.5,95
2022-07-19 23:53:47 UTC,7,10,120,5.31,94
2022-07-19 23:53:48 UTC,8,10,92,0.73,94
2022-07-19 23:53:49 UTC,9,31,154,11.57,87
2022-07-19 23:53:50 UTC,10,28,89,8.73,99
2022-07-19 23:53:51 UTC,11,10,59,14.16,96
2022-07-19 23:53:52 UTC,12,39,83,9.73,90
2022-07-19 23:53:53 UTC,13,10,52,6.81,93
2022-07-19 23:53:54 UTC,14,11,101,1.0,94
