created_at,entry_id,field1,field2,field3,field4
2022-07-20 17:56:03 UTC,1,29,109,19.51,94
2022-07-20 17:56:04 UTC,2,23,63,3.58,89
2022-07-20 17:56:05 UTC,3,39,125,12.24,85
2022-07-20 17:56:06 UTC,4,22,122,15.24,99
2022-07-20 17:56:07 UTC,5,24,53,1.37,93
2022-07-20 17:56:08 UTC,6,22,77,10.93,89
2022-07-20 17:56:09 UTC,7,25,89,14.34,87
2022-07-21 15:28:06 UTC,8,21,152,8.48,90
2022-07-21 15:28:07 UTC,9,40,85,8.45,96
2022-07-21 15:28:08 UTC,10,27,131,17.59,89
2022-07-21 15:28:09 UTC,11,39,79,6.29,86
2022-07-21 15:28:10 UTC,12,36,103,19.62,93
2022-07-21 15:28:11 UTC,13,40,81,8.59,91
2022-07-21 15:28:12 UTC,14,38,133,18.25,86
2022-07-21 15:28:13 UTC,15,26,97,12.64,98
2022-07-21 15:28:14 UTC,16,17,86,19.43,96
2022-07-21 15:28:15 UTC,17,18,132,6.6,95
2022-07-21 15:28:16 UTC,18,22,53,17.17,96
2022-07-21 15:28:17 UTC,19,26,87,0.7,85
