created_at,entry_id,field1,field2,field3,field4
2022-07-21 16:04:56 UTC,1,24,122,12.92,96
2022-07-21 16:04:57 UTC,2,34,77,15.16,96
2022-07-21 16:04:58 UTC,3,15,109,6.3,93
2022-07-21 16:04:59 UTC,4,40,112,17.47,88
2022-07-21 16:05:00 UTC,5,40,50,6.66,86
2022-07-21 16:05:01 UTC,6,20,91,19.2,89
2022-07-21 16:05:02 UTC,7,39,120,15.98,85
2022-07-21 16:05:07 UTC,8,29,121,1.94,94
2022-07-21 16:05:08 UTC,9,26,113,6.15,92
2022-07-21 16:05:09 UTC,10,16,132,12.32,89
2022-07-21 16:05:10 UTC,11,23,117,7.96,89
2022-07-21 16:05:11 UTC,12,24,145,12.59,97
2022-07-21 16:05:12 UTC,13,32,80,8.33,93
2022-07-21 16:05:13 UTC,14,33,56,15.25,93
2022-07-21 16:05:14 UTC,15,36,65,16.62,96
2022-07-21 16:05:15 UTC,16,20,86,8.37,88
