created_at,entry_id,field1,field2,field3,field4
2022-07-21 16:24:27 UTC,1,15,126,2.17,85
2022-07-21 16:24:28 UTC,2,31,99,15.63,88
2022-07-21 16:24:29 UTC,3,32,56,8.96,92
2022-07-21 16:24:30 UTC,4,29,53,9.44,87
2022-07-21 16:24:31 UTC,5,31,63,15.31,96
2022-07-21 16:24:32 UTC,6,20,144,19.34,97
2022-07-21 16:24:33 UTC,7,18,117,14.99,86
2022-07-21 16:24:34 UTC,8,26,123,3.67,88
2022-07-21 16:24:35 UTC,9,36,63,16.88,94
2022-07-21 16:24:36 UTC,10,33,97,12.81,93
2022-07-21 16:24:37 UTC,11,36,81,19.49,91
2022-07-21 16:24:38 UTC,12,31,107,17.8,99
2022-07-21 16:24:43 UTC,13,17,62,3.59,94
2022-07-21 16:24:44 UTC,14,13,72,3.08,94
2022-07-21 16:24:45 UTC,15,29,138,11.57,98
2022-07-21 16:24:46 UTC,16,31,76,2.97,98
2022-07-21 16:24:47 UTC,17,24,94,6.08,95
2022-07-21 16:24:48 UTC,18,20,153,1.29,86
2022-07-21 16:24:49 UTC,19,36,102,12.84,89
2022-07-21 16:24:50 UTC,20,26,131,12.86,86
