created_at,entry_id,field1,field2,field3,field4
2022-07-21 16:17:46 UTC,1,30,105,11.33,86
2022-07-21 16:17:47 UTC,2,27,100,4.46,87
2022-07-21 16:17:48 UTC,3,37,79,9.04,87
2022-07-21 16:17:49 UTC,4,14,59,8.58,93
2022-07-21 16:17:50 UTC,5,15,113,11.74,86
2022-07-21 16:17:51 UTC,6,25,91,9.95,99
2022-07-21 16:17:52 UTC,7,14,107,0.5,98
2022-07-21 16:17:53 UTC,8,14,149,9.67,88
2022-07-21 16:17:54 UTC,9,31,93,13.99,93
2022-07-21 16:17:55 UTC,10,33,67,8.75,88
2022-07-21 16:17:56 UTC,11,26,91,1.14,99
2022-07-21 16:18:04 UTC,12,20,95,12.18,93
2022-07-21 16:18:05 UTC,13,10,77,5.78,95
2022-07-21 16:18:06 UTC,14,18,97,7.85,88
2022-07-21 16:18:07 UTC,15,40,100,0.76,86
2022-07-21 16:18:08 UTC,16,23,139,5.19,99
2022-07-21 16:18:09 UTC,17,26,64,19.35,96
2022-07-21 16:18:10 UTC,18,11,90,7.29,88
