created_at,entry_id,field1,field2,field3,field4
2022-07-21 16:09:22 UTC,1,35,116,3.93,85
2022-07-21 16:09:23 UTC,2,16,94,17.5,93
2022-07-21 16:09:24 UTC,3,33,58,0.85,89
2022-07-21 16:09:25 UTC,4,20,53,3.53,91
2022-07-21 16:09:26 UTC,5,26,89,16.8,92
2022-07-21 16:09:27 UTC,6,17,116,4.44,87
2022-07-21 16:09:28 UTC,7,37,58,16.82,87
2022-07-21 16:09:29 UTC,8,21,63,0.9,88
2022-07-21 16:09:30 UTC,9,26,62,1.85,94
2022-07-21 16:09:31 UTC,10,21,135,19.7,86
2022-07-21 16:09:32 UTC,11,27,69,13.46,86
2022-07-21 16:09:33 UTC,12,20,141,7.98,97
2022-07-21 16:09:34 UTC,13,33,67,19.3,90
2022-07-21 16:09:39 UTC,14,38,84,6.22,88
2022-07-21 16:09:40 UTC,15,35,53,0.46,86
2022-07-21 16:09:41 UTC,16,37,86,6.07,85
2022-07-21 16:09:42 UTC,17,24,114,9.99,97
2022-07-21 16:09:43 UTC,18,12,67,11.09,95
2022-07-21 16:09:44 UTC,19,12,82,14.64,85
2022-07-21 16:09:45 UTC,20,16,118,9.65,98
2022-07-21 16:09:46 UTC,21,21,116,0.25,91
2022-07-21 16:09:47 UTC,22,29,72,2.83,93
