created_at,entry_id,field1,field2,field3,field4
2022-07-19 23:17:02 UTC,1,13,137,7.71,86
2022-07-19 23:17:03 UTC,2,18,96,3.96,95
2022-07-19 23:17:04 UTC,3,34,86,10.75,97
2022-07-19 23:17:05 UTC,4,12,118,17.84,96
2022-07-19 23:17:06 UTC,5,18,53,17.36,99
2022-07-19 23:17:07 UTC,6,22,50,2.58,85
2022-07-19 23:17:08 UTC,7,32,139,11.42,95
2022-07-19 23:17:09 UTC,8,39,82,14.5,91
2022-07-19 23:17:10 UTC,9,37,139,4.52,99
2022-07-19 23:17:11 UTC,10,39,141,9.84,85
2022-07-19 23:17:12 UTC,11,23,109,0.33,93
2022-07-19 23:17:17 UTC,12,33,111,3.22,91
2022-07-19 23:17:18 UTC,13,32,52,7.94,96
2022-07-19 23:17:19 UTC,14,19,112,12.29,86
2022-07-19 23:17:20 UTC,15,27,125,3.1,98
2022-07-19 23:17:21 UTC,16,31,133,14.91,88
2022-07-19 23:17:22 UTC,17,36,59,7.61,95
2022-07-19 23:17:23 UTC,18,27,139,7.36,99
2022-07-19 23:17:24 UTC,19,36,82,5.25,95
2022-07-19 23:17:25 UTC,20,18,82,10.57,89
