created_at,entry_id,field1,field2,field3,field4
2022-07-19 23:19:28 UTC,1,29,118,8.49,86
2022-07-19 23:19:29 UTC,2,20,76,5.99,97
2022-07-19 23:19:30 UTC,3,35,143,0.55,93
2022-07-19 23:19:31 UTC,4,10,76,0.72,99
2022-07-19 23:19:32 UTC,5,40,109,5.19,98
2022-07-19 23:19:33 UTC,6,17,107,8.9,94
2022-07-19 23:19:34 UTC,7,15,140,15.79,86
2022-07-19 23:19:35 UTC,8,17,131,17.35,85
2022-07-19 23:19:36 UTC,9,40,116,19.06,88
2022-07-19 23:19:37 UTC,10,24,142,2.26,88
2022-07-19 23:19:38 UTC,11,18,101,15.1,87
2022-07-19 23:20:54 UTC,12,20,77,16.92,91
2022-07-19 23:20:55 UTC,13,12,93,3.29,89
2022-07-19 23:20:56 UTC,14,40,104,14.72,96
2022-07-19 23:20:57 UTC,15,30,52,1.41,97
2022-07-19 23:20:58 UTC,16,33,78,16.2,95
2022-07-19 23:20:59 UTC,17,28,102,19.16,93
2022-07-19 23:21:00 UTC,18,22,137,5.73,87
2022-07-19 23:21:01 UTC,19,40,85,11.68,86
2022-07-19 23:21:02 UTC,20,34,87,17.34,99
2022-07-19 23:21:03 UTC,21,23,75,3.36,86
2022-07-19 23:21:04 UTC,22,35,133,11.03,87
2022-07-19 23:21:05 UTC,23,14,77,16.48,97
2022-07-19 23:21:06 UTC,24,10,94,15.91,98
2022-07-19 23:21:07 UTC,25,30,80,3.55,96
2022-07-19 23:21:08 UTC,26,34,152,8.7,96
2022-07-19 23:21:09 UTC,27,35,140,19.24,90
2022-07-19 23:21:14 UTC,28,33,68,2.09,88
2022-07-19 23:21:15 UTC,29,31,57,16.31,98
2022-07-19 23:21:16 UTC,30,21,148,8.99,87
2022-07-19 23:21:17 UTC,31,38,98,10.93,98
2022-07-19 23:21:18 UTC,32,12,135,17.65,97
