created_at,entry_id,field1,field2,field3,field4
2022-07-21 16:25:26 UTC,1,29,77,19.02,96
2022-07-21 16:25:27 UTC,2,24,146,19.19,88
2022-07-21 16:25:28 UTC,3,25,65,12.37,91
2022-07-21 16:25:29 UTC,4,29,98,13.65,90
2022-07-21 16:25:30 UTC,5,33,87,10.14,95
2022-07-21 16:25:31 UTC,6,35,139,13.95,96
2022-07-21 16:25:32 UTC,7,30,105,11.83,87
2022-07-21 16:25:33 UTC,8,11,118,17.3,93
2022-07-21 16:25:34 UTC,9,14,123,7.68,96
2022-07-21 16:25:35 UTC,10,27,125,2.29,90
2022-07-21 16:25:36 UTC,11,23,105,10.37,94
2022-07-21 16:25:37 UTC,12,10,108,18.57,98
2022-07-21 16:25:42 UTC,13,21,66,10.93,96
2022-07-21 16:25:43 UTC,14,28,133,10.88,95
2022-07-21 16:25:44 UTC,15,37,128,19.53,86
2022-07-21 16:25:45 UTC,16,32,109,13.11,92
2022-07-21 16:25:46 UTC,17,21,57,16.95,93
2022-07-21 16:25:47 UTC,18,12,72,10.6,89
2022-07-21 16:25:48 UTC,19,12,95,19.83,96
2022-07-21 16:25:49 UTC,20,30,119,8.2,95
2022-07-21 16:25:50 UTC,21,33,132,6.66,85
2022-07-21 16:25:51 UTC,22,33,137,10.75,99
